idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
8423,We congratulated a measly twenty athletes.,We congratulated,a twenty measly athletes,twenty measly athletes,a measly twenty athletes,twenty measly athletes,a twenty athletes,a measly athletes
8424,We congratulated a measly twenty pianists.,We congratulated,a twenty measly pianists,twenty measly pianists,a measly twenty pianists,twenty measly pianists,a twenty pianists,a measly pianists
8425,We congratulated a measly twenty teammates.,We congratulated,a twenty measly teammates,twenty measly teammates,a measly twenty teammates,twenty measly teammates,a twenty teammates,a measly teammates
8426,We congratulated a measly twenty lawyers.,We congratulated,a twenty measly lawyers,twenty measly lawyers,a measly twenty lawyers,twenty measly lawyers,a twenty lawyers,a measly lawyers
8427,We congratulated a measly twenty doctors.,We congratulated,a twenty measly doctors,twenty measly doctors,a measly twenty doctors,twenty measly doctors,a twenty doctors,a measly doctors
8428,We congratulated a measly twenty actors.,We congratulated,a twenty measly actors,twenty measly actors,a measly twenty actors,twenty measly actors,a twenty actors,a measly actors
8429,We congratulated a measly twenty Americans.,We congratulated,a twenty measly Americans,twenty measly Americans,a measly twenty Americans,twenty measly Americans,a twenty Americans,a measly Americans
8430,We congratulated a measly twenty bankers.,We congratulated,a twenty measly bankers,twenty measly bankers,a measly twenty bankers,twenty measly bankers,a twenty bankers,a measly bankers
8431,We congratulated a substantial three soldiers.,We congratulated,a three substantial soldiers,three substantial soldiers,a substantial three soldiers,three substantial soldiers,a three soldiers,a substantial soldiers
8432,We congratulated a substantial three students.,We congratulated,a three substantial students,three substantial students,a substantial three students,three substantial students,a three students,a substantial students
8433,We congratulated a substantial three athletes.,We congratulated,a three substantial athletes,three substantial athletes,a substantial three athletes,three substantial athletes,a three athletes,a substantial athletes
8434,We congratulated a substantial three pianists.,We congratulated,a three substantial pianists,three substantial pianists,a substantial three pianists,three substantial pianists,a three pianists,a substantial pianists
8435,We congratulated a substantial three teammates.,We congratulated,a three substantial teammates,three substantial teammates,a substantial three teammates,three substantial teammates,a three teammates,a substantial teammates
8436,We congratulated a substantial three lawyers.,We congratulated,a three substantial lawyers,three substantial lawyers,a substantial three lawyers,three substantial lawyers,a three lawyers,a substantial lawyers
8437,We congratulated a substantial three doctors.,We congratulated,a three substantial doctors,three substantial doctors,a substantial three doctors,three substantial doctors,a three doctors,a substantial doctors
8438,We congratulated a substantial three actors.,We congratulated,a three substantial actors,three substantial actors,a substantial three actors,three substantial actors,a three actors,a substantial actors
8439,We congratulated a substantial three Americans.,We congratulated,a three substantial Americans,three substantial Americans,a substantial three Americans,three substantial Americans,a three Americans,a substantial Americans
8440,We congratulated a substantial three bankers.,We congratulated,a three substantial bankers,three substantial bankers,a substantial three bankers,three substantial bankers,a three bankers,a substantial bankers
8441,We congratulated a substantial five soldiers.,We congratulated,a five substantial soldiers,five substantial soldiers,a substantial five soldiers,five substantial soldiers,a five soldiers,a substantial soldiers
8442,We congratulated a substantial five students.,We congratulated,a five substantial students,five substantial students,a substantial five students,five substantial students,a five students,a substantial students
8443,We congratulated a substantial five athletes.,We congratulated,a five substantial athletes,five substantial athletes,a substantial five athletes,five substantial athletes,a five athletes,a substantial athletes
8444,We congratulated a substantial five pianists.,We congratulated,a five substantial pianists,five substantial pianists,a substantial five pianists,five substantial pianists,a five pianists,a substantial pianists
8445,We congratulated a substantial five teammates.,We congratulated,a five substantial teammates,five substantial teammates,a substantial five teammates,five substantial teammates,a five teammates,a substantial teammates
8446,We congratulated a substantial five lawyers.,We congratulated,a five substantial lawyers,five substantial lawyers,a substantial five lawyers,five substantial lawyers,a five lawyers,a substantial lawyers
8447,We congratulated a substantial five doctors.,We congratulated,a five substantial doctors,five substantial doctors,a substantial five doctors,five substantial doctors,a five doctors,a substantial doctors
8448,We congratulated a substantial five actors.,We congratulated,a five substantial actors,five substantial actors,a substantial five actors,five substantial actors,a five actors,a substantial actors
8449,We congratulated a substantial five Americans.,We congratulated,a five substantial Americans,five substantial Americans,a substantial five Americans,five substantial Americans,a five Americans,a substantial Americans
8450,We congratulated a substantial five bankers.,We congratulated,a five substantial bankers,five substantial bankers,a substantial five bankers,five substantial bankers,a five bankers,a substantial bankers
8451,We congratulated a substantial twenty soldiers.,We congratulated,a twenty substantial soldiers,twenty substantial soldiers,a substantial twenty soldiers,twenty substantial soldiers,a twenty soldiers,a substantial soldiers
8452,We congratulated a substantial twenty students.,We congratulated,a twenty substantial students,twenty substantial students,a substantial twenty students,twenty substantial students,a twenty students,a substantial students
8453,We congratulated a substantial twenty athletes.,We congratulated,a twenty substantial athletes,twenty substantial athletes,a substantial twenty athletes,twenty substantial athletes,a twenty athletes,a substantial athletes
8454,We congratulated a substantial twenty pianists.,We congratulated,a twenty substantial pianists,twenty substantial pianists,a substantial twenty pianists,twenty substantial pianists,a twenty pianists,a substantial pianists
8455,We congratulated a substantial twenty teammates.,We congratulated,a twenty substantial teammates,twenty substantial teammates,a substantial twenty teammates,twenty substantial teammates,a twenty teammates,a substantial teammates
8456,We congratulated a substantial twenty lawyers.,We congratulated,a twenty substantial lawyers,twenty substantial lawyers,a substantial twenty lawyers,twenty substantial lawyers,a twenty lawyers,a substantial lawyers
8457,We congratulated a substantial twenty doctors.,We congratulated,a twenty substantial doctors,twenty substantial doctors,a substantial twenty doctors,twenty substantial doctors,a twenty doctors,a substantial doctors
8458,We congratulated a substantial twenty actors.,We congratulated,a twenty substantial actors,twenty substantial actors,a substantial twenty actors,twenty substantial actors,a twenty actors,a substantial actors
8459,We congratulated a substantial twenty Americans.,We congratulated,a twenty substantial Americans,twenty substantial Americans,a substantial twenty Americans,twenty substantial Americans,a twenty Americans,a substantial Americans
8460,We congratulated a substantial twenty bankers.,We congratulated,a twenty substantial bankers,twenty substantial bankers,a substantial twenty bankers,twenty substantial bankers,a twenty bankers,a substantial bankers
8461,We congratulated a record-setting three soldiers.,We congratulated,a three record-setting soldiers,three record-setting soldiers,a record-setting three soldiers,three record-setting soldiers,a three soldiers,a record-setting soldiers
