,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
6282,6283,An astonishing five athletes greeted us at the door.,An astonishing five athletes greeted us at the door,An astonishing five athletes,five astonishing athletes,an astonishing five athletes,five astonishing athletes,a five athletes,an astonishing athletes
6283,6284,An astonishing five pianists greeted us at the door.,An astonishing five pianists greeted us at the door,An astonishing five pianists,five astonishing pianists,an astonishing five pianists,five astonishing pianists,a five pianists,an astonishing pianists
6284,6285,An astonishing five teammates greeted us at the door.,An astonishing five teammates greeted us at the door,An astonishing five teammates,five astonishing teammates,an astonishing five teammates,five astonishing teammates,a five teammates,an astonishing teammates
6285,6286,An astonishing five lawyers greeted us at the door.,An astonishing five lawyers greeted us at the door,An astonishing five lawyers,five astonishing lawyers,an astonishing five lawyers,five astonishing lawyers,a five lawyers,an astonishing lawyers
6286,6287,An astonishing five doctors greeted us at the door.,An astonishing five doctors greeted us at the door,An astonishing five doctors,five astonishing doctors,an astonishing five doctors,five astonishing doctors,a five doctors,an astonishing doctors
6287,6288,An astonishing five actors greeted us at the door.,An astonishing five actors greeted us at the door,An astonishing five actors,five astonishing actors,an astonishing five actors,five astonishing actors,a five actors,an astonishing actors
6288,6289,An astonishing five Americans greeted us at the door.,An astonishing five Americans greeted us at the door,An astonishing five Americans,five astonishing Americans,an astonishing five Americans,five astonishing Americans,a five Americans,an astonishing Americans
6289,6290,An astonishing five bankers greeted us at the door.,An astonishing five bankers greeted us at the door,An astonishing five bankers,five astonishing bankers,an astonishing five bankers,five astonishing bankers,a five bankers,an astonishing bankers
6290,6291,An astonishing twenty soldiers greeted us at the door.,An astonishing twenty soldiers greeted us at the door,An astonishing twenty soldiers,twenty astonishing soldiers,an astonishing twenty soldiers,twenty astonishing soldiers,a twenty soldiers,an astonishing soldiers
6291,6292,An astonishing twenty students greeted us at the door.,An astonishing twenty students greeted us at the door,An astonishing twenty students,twenty astonishing students,an astonishing twenty students,twenty astonishing students,a twenty students,an astonishing students
6292,6293,An astonishing twenty athletes greeted us at the door.,An astonishing twenty athletes greeted us at the door,An astonishing twenty athletes,twenty astonishing athletes,an astonishing twenty athletes,twenty astonishing athletes,a twenty athletes,an astonishing athletes
6293,6294,An astonishing twenty pianists greeted us at the door.,An astonishing twenty pianists greeted us at the door,An astonishing twenty pianists,twenty astonishing pianists,an astonishing twenty pianists,twenty astonishing pianists,a twenty pianists,an astonishing pianists
6294,6295,An astonishing twenty teammates greeted us at the door.,An astonishing twenty teammates greeted us at the door,An astonishing twenty teammates,twenty astonishing teammates,an astonishing twenty teammates,twenty astonishing teammates,a twenty teammates,an astonishing teammates
6295,6296,An astonishing twenty lawyers greeted us at the door.,An astonishing twenty lawyers greeted us at the door,An astonishing twenty lawyers,twenty astonishing lawyers,an astonishing twenty lawyers,twenty astonishing lawyers,a twenty lawyers,an astonishing lawyers
6296,6297,An astonishing twenty doctors greeted us at the door.,An astonishing twenty doctors greeted us at the door,An astonishing twenty doctors,twenty astonishing doctors,an astonishing twenty doctors,twenty astonishing doctors,a twenty doctors,an astonishing doctors
6297,6298,An astonishing twenty actors greeted us at the door.,An astonishing twenty actors greeted us at the door,An astonishing twenty actors,twenty astonishing actors,an astonishing twenty actors,twenty astonishing actors,a twenty actors,an astonishing actors
6298,6299,An astonishing twenty Americans greeted us at the door.,An astonishing twenty Americans greeted us at the door,An astonishing twenty Americans,twenty astonishing Americans,an astonishing twenty Americans,twenty astonishing Americans,a twenty Americans,an astonishing Americans
6299,6300,An astonishing twenty bankers greeted us at the door.,An astonishing twenty bankers greeted us at the door,An astonishing twenty bankers,twenty astonishing bankers,an astonishing twenty bankers,twenty astonishing bankers,a twenty bankers,an astonishing bankers
6300,6301,An incredible three soldiers greeted us at the door.,An incredible three soldiers greeted us at the door,An incredible three soldiers,three incredible soldiers,an incredible three soldiers,three incredible soldiers,a three soldiers,an incredible soldiers
6301,6302,An incredible three students greeted us at the door.,An incredible three students greeted us at the door,An incredible three students,three incredible students,an incredible three students,three incredible students,a three students,an incredible students
6302,6303,An incredible three athletes greeted us at the door.,An incredible three athletes greeted us at the door,An incredible three athletes,three incredible athletes,an incredible three athletes,three incredible athletes,a three athletes,an incredible athletes
6303,6304,An incredible three pianists greeted us at the door.,An incredible three pianists greeted us at the door,An incredible three pianists,three incredible pianists,an incredible three pianists,three incredible pianists,a three pianists,an incredible pianists
6304,6305,An incredible three teammates greeted us at the door.,An incredible three teammates greeted us at the door,An incredible three teammates,three incredible teammates,an incredible three teammates,three incredible teammates,a three teammates,an incredible teammates
6305,6306,An incredible three lawyers greeted us at the door.,An incredible three lawyers greeted us at the door,An incredible three lawyers,three incredible lawyers,an incredible three lawyers,three incredible lawyers,a three lawyers,an incredible lawyers
6306,6307,An incredible three doctors greeted us at the door.,An incredible three doctors greeted us at the door,An incredible three doctors,three incredible doctors,an incredible three doctors,three incredible doctors,a three doctors,an incredible doctors
6307,6308,An incredible three actors greeted us at the door.,An incredible three actors greeted us at the door,An incredible three actors,three incredible actors,an incredible three actors,three incredible actors,a three actors,an incredible actors
6308,6309,An incredible three Americans greeted us at the door.,An incredible three Americans greeted us at the door,An incredible three Americans,three incredible Americans,an incredible three Americans,three incredible Americans,a three Americans,an incredible Americans
6309,6310,An incredible three bankers greeted us at the door.,An incredible three bankers greeted us at the door,An incredible three bankers,three incredible bankers,an incredible three bankers,three incredible bankers,a three bankers,an incredible bankers
6310,6311,An incredible five soldiers greeted us at the door.,An incredible five soldiers greeted us at the door,An incredible five soldiers,five incredible soldiers,an incredible five soldiers,five incredible soldiers,a five soldiers,an incredible soldiers
6311,6312,An incredible five students greeted us at the door.,An incredible five students greeted us at the door,An incredible five students,five incredible students,an incredible five students,five incredible students,a five students,an incredible students
6312,6313,An incredible five athletes greeted us at the door.,An incredible five athletes greeted us at the door,An incredible five athletes,five incredible athletes,an incredible five athletes,five incredible athletes,a five athletes,an incredible athletes
6313,6314,An incredible five pianists greeted us at the door.,An incredible five pianists greeted us at the door,An incredible five pianists,five incredible pianists,an incredible five pianists,five incredible pianists,a five pianists,an incredible pianists
6314,6315,An incredible five teammates greeted us at the door.,An incredible five teammates greeted us at the door,An incredible five teammates,five incredible teammates,an incredible five teammates,five incredible teammates,a five teammates,an incredible teammates
6315,6316,An incredible five lawyers greeted us at the door.,An incredible five lawyers greeted us at the door,An incredible five lawyers,five incredible lawyers,an incredible five lawyers,five incredible lawyers,a five lawyers,an incredible lawyers
6316,6317,An incredible five doctors greeted us at the door.,An incredible five doctors greeted us at the door,An incredible five doctors,five incredible doctors,an incredible five doctors,five incredible doctors,a five doctors,an incredible doctors
