idx,sentence,prefixes,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
6742,A disgusting twenty students greeted us at the door.,A disgusting twenty students greeted us at the door,A disgusting twenty students,twenty disgusting students,a twenty disgusting students,disgusting twenty students,a twenty students,A disgusting students
6743,A disgusting twenty athletes greeted us at the door.,A disgusting twenty athletes greeted us at the door,A disgusting twenty athletes,twenty disgusting athletes,a twenty disgusting athletes,disgusting twenty athletes,a twenty athletes,A disgusting athletes
6744,A disgusting twenty pianists greeted us at the door.,A disgusting twenty pianists greeted us at the door,A disgusting twenty pianists,twenty disgusting pianists,a twenty disgusting pianists,disgusting twenty pianists,a twenty pianists,A disgusting pianists
6745,A disgusting twenty teammates greeted us at the door.,A disgusting twenty teammates greeted us at the door,A disgusting twenty teammates,twenty disgusting teammates,a twenty disgusting teammates,disgusting twenty teammates,a twenty teammates,A disgusting teammates
6746,A disgusting twenty lawyers greeted us at the door.,A disgusting twenty lawyers greeted us at the door,A disgusting twenty lawyers,twenty disgusting lawyers,a twenty disgusting lawyers,disgusting twenty lawyers,a twenty lawyers,A disgusting lawyers
6747,A disgusting twenty doctors greeted us at the door.,A disgusting twenty doctors greeted us at the door,A disgusting twenty doctors,twenty disgusting doctors,a twenty disgusting doctors,disgusting twenty doctors,a twenty doctors,A disgusting doctors
6748,A disgusting twenty actors greeted us at the door.,A disgusting twenty actors greeted us at the door,A disgusting twenty actors,twenty disgusting actors,a twenty disgusting actors,disgusting twenty actors,a twenty actors,A disgusting actors
6749,A disgusting twenty Americans greeted us at the door.,A disgusting twenty Americans greeted us at the door,A disgusting twenty Americans,twenty disgusting Americans,a twenty disgusting Americans,disgusting twenty Americans,a twenty Americans,A disgusting Americans
6750,A disgusting twenty bankers greeted us at the door.,A disgusting twenty bankers greeted us at the door,A disgusting twenty bankers,twenty disgusting bankers,a twenty disgusting bankers,disgusting twenty bankers,a twenty bankers,A disgusting bankers
6751,An uninviting three soldiers greeted us at the door.,An uninviting three soldiers greeted us at the door,An uninviting three soldiers,three uninviting soldiers,a three uninviting soldiers,uninviting three soldiers,a three soldiers,An uninviting soldiers
6752,An uninviting three students greeted us at the door.,An uninviting three students greeted us at the door,An uninviting three students,three uninviting students,a three uninviting students,uninviting three students,a three students,An uninviting students
6753,An uninviting three athletes greeted us at the door.,An uninviting three athletes greeted us at the door,An uninviting three athletes,three uninviting athletes,a three uninviting athletes,uninviting three athletes,a three athletes,An uninviting athletes
6754,An uninviting three pianists greeted us at the door.,An uninviting three pianists greeted us at the door,An uninviting three pianists,three uninviting pianists,a three uninviting pianists,uninviting three pianists,a three pianists,An uninviting pianists
6755,An uninviting three teammates greeted us at the door.,An uninviting three teammates greeted us at the door,An uninviting three teammates,three uninviting teammates,a three uninviting teammates,uninviting three teammates,a three teammates,An uninviting teammates
6756,An uninviting three lawyers greeted us at the door.,An uninviting three lawyers greeted us at the door,An uninviting three lawyers,three uninviting lawyers,a three uninviting lawyers,uninviting three lawyers,a three lawyers,An uninviting lawyers
6757,An uninviting three doctors greeted us at the door.,An uninviting three doctors greeted us at the door,An uninviting three doctors,three uninviting doctors,a three uninviting doctors,uninviting three doctors,a three doctors,An uninviting doctors
6758,An uninviting three actors greeted us at the door.,An uninviting three actors greeted us at the door,An uninviting three actors,three uninviting actors,a three uninviting actors,uninviting three actors,a three actors,An uninviting actors
6759,An uninviting three Americans greeted us at the door.,An uninviting three Americans greeted us at the door,An uninviting three Americans,three uninviting Americans,a three uninviting Americans,uninviting three Americans,a three Americans,An uninviting Americans
6760,An uninviting three bankers greeted us at the door.,An uninviting three bankers greeted us at the door,An uninviting three bankers,three uninviting bankers,a three uninviting bankers,uninviting three bankers,a three bankers,An uninviting bankers
6761,An uninviting five soldiers greeted us at the door.,An uninviting five soldiers greeted us at the door,An uninviting five soldiers,five uninviting soldiers,a five uninviting soldiers,uninviting five soldiers,a five soldiers,An uninviting soldiers
6762,An uninviting five students greeted us at the door.,An uninviting five students greeted us at the door,An uninviting five students,five uninviting students,a five uninviting students,uninviting five students,a five students,An uninviting students
6763,An uninviting five athletes greeted us at the door.,An uninviting five athletes greeted us at the door,An uninviting five athletes,five uninviting athletes,a five uninviting athletes,uninviting five athletes,a five athletes,An uninviting athletes
6764,An uninviting five pianists greeted us at the door.,An uninviting five pianists greeted us at the door,An uninviting five pianists,five uninviting pianists,a five uninviting pianists,uninviting five pianists,a five pianists,An uninviting pianists
6765,An uninviting five teammates greeted us at the door.,An uninviting five teammates greeted us at the door,An uninviting five teammates,five uninviting teammates,a five uninviting teammates,uninviting five teammates,a five teammates,An uninviting teammates
6766,An uninviting five lawyers greeted us at the door.,An uninviting five lawyers greeted us at the door,An uninviting five lawyers,five uninviting lawyers,a five uninviting lawyers,uninviting five lawyers,a five lawyers,An uninviting lawyers
6767,An uninviting five doctors greeted us at the door.,An uninviting five doctors greeted us at the door,An uninviting five doctors,five uninviting doctors,a five uninviting doctors,uninviting five doctors,a five doctors,An uninviting doctors
6768,An uninviting five actors greeted us at the door.,An uninviting five actors greeted us at the door,An uninviting five actors,five uninviting actors,a five uninviting actors,uninviting five actors,a five actors,An uninviting actors
6769,An uninviting five Americans greeted us at the door.,An uninviting five Americans greeted us at the door,An uninviting five Americans,five uninviting Americans,a five uninviting Americans,uninviting five Americans,a five Americans,An uninviting Americans
6770,An uninviting five bankers greeted us at the door.,An uninviting five bankers greeted us at the door,An uninviting five bankers,five uninviting bankers,a five uninviting bankers,uninviting five bankers,a five bankers,An uninviting bankers
6771,An uninviting twenty soldiers greeted us at the door.,An uninviting twenty soldiers greeted us at the door,An uninviting twenty soldiers,twenty uninviting soldiers,a twenty uninviting soldiers,uninviting twenty soldiers,a twenty soldiers,An uninviting soldiers
