idx,construction,corrupted_construction,corrupted_sentence
12030,a good fifteen centimetres,a fifteen good centimetres,"The outside world could even be forgiven for bumping straight into me as it made its way to a geology lecture in the building across the road , sending me sprawling onto my hands and knees , a fifteen good centimetres on the wrong side of the border of University Life and the Real World ."
12031,a good five or ten years,a five or ten good years,"I was a five or ten good years older now than when I first formulated those answers , but did that qualify me as a grown - up ?"
12032,a few hundred meters,a hundred few meters,"Err ... no , only a hundred few meters . """
12033,a mere two days,a two mere days,It has been a two mere days and already I find myself exhausted and wanting to be alone more than ever .
12034,a long hard twelve years,a twelve long hard years,""" It 's been a twelve long hard years , "" stated Walter ."
12035,a long four weeks,a four long weeks,"Fuck , this was going to be a four long weeks ."
12036,a good eight feet,a eight good feet,"In response he stopped a eight good feet away , as if scared I 'd suddenly launch myself at him . """
12037,an extra 75 dollars,an 75 extra dollars,"The plan worked , and Drew actually came back with an 75 extra dollars ."
12038,a very long and tedious two weeks,a two very long and tedious weeks,It 's been a two very long and tedious weeks since Ella and I broke up .
12039,a few hundred years,a hundred few years,"As the author states : "" To adequately evaluate America 's heritage , we must turn back time a hundred few years before 1776 when the seeds of America 's political system were being planted . """
12040,a few hundred acres,a hundred few acres,"She lived in a hilly part of South Carolina , not too far from the northern border of Georgia , and owned a hundred few acres , well , not anymore , she was down to about thirty if Harmony remembered correctly , but she had started out with something like three or four hundred acres ."
12041,a good ten feet,a ten good feet,"The crowd bursts out in chatter and cheers , and Becca tries to silence them again , feeling the pressure of Quills gun on her shoulder blades , although it sits a ten good feet away from her ."
12042,a few hundred years,a hundred few years,"From what I 've been able to piece together from the records there was some kind of upheaval or explosion , a hundred few years ago ."
12043,a characteristic three feet,a three characteristic feet,"Odisseus lowers his tools and turns a glance over his shoulder to spot , elbowing his way through the knees of the clustered Chook , a russet - furred male Mruka , garbed in a combat vest and standing a three characteristic feet off the ground ."
12044,a clean sixty feet,a sixty clean feet,"The rest of his companions hoot and howl in response to the latest explosion , catapulting the dash 's rider a sixty clean feet into the air in corkscrewing circles ."
12045,a scant fifteen feet,a fifteen scant feet,"Slouched cartoonishly against the corner of the sparking cigarette machine , the dead Diraaqi had relinquished his hold on his own weapon and the abdicated assault rifle , spattered with emerald blood , lies , barely visible beneath his crumbled corpse , a fifteen scant feet past Ebeneezer 's left ."
12046,a full fifteen feet,a fifteen full feet,"It is n't until entrapped Ebeneezer is yanked , by some unknown power , a fifteen full feet farther into the jungle , with another sustained yowl and a total hewing of the rotted timber into deadfall confetti , that Moira recognizes the peerless abomination that truly awaits Ebeneezer at grappler 's end ."
12047,a couple hundred dottibles,a hundred couple dottibles,"Not like you can stroll through a hundred couple dottibles of open nebula in this Briza of yours . """
12048,an effective fourteen feet,an fourteen effective feet,"The collision with the ground launched her an fourteen effective feet in the air , from the near bottom of the underturret 's access ladder up onto the floor of the gundeck proper ."
12049,a good three weeks,a three good weeks,"I ai n't seen no strangers in Tro'mause for a three good weeks now , and that by - the - gods is the truth of it . """
12050,a good twenty pounds,a twenty good pounds,The soldier must have weighed a twenty good pounds more than him ; his solid mass of muscle and metal armour knocked Drago back a few steps .
12051,a mere fifteen minutes,a fifteen mere minutes,"It was hard to believe for Hollins that they found themselves lying prone – they were only a fifteen mere minutes outside of the city , not even a mile distant ."
12052,a good six inches,a six good inches,He was so much taller than she was ; her feet were hanging a six good inches off the ground .
12053,a good six inches,a six good inches,Forest grew her hair out a six good inches and pulled it into a ponytail .
12054,a pretty crazy 18 months,a 18 pretty crazy months,Yes it 's been a 18 pretty crazy months in quite Canberra and for many people round town life will never be the same again .
12055,a pretty shocking 18 months,a 18 pretty shocking months,Yep it 's been a 18 pretty shocking months in quite little Canberra .
12056,a good twenty seconds,a twenty good seconds,He laughed for a twenty good seconds before wiping his eyes .
12057,a few hundred houses,a hundred few houses,"Too many people came to Opononi , a tiny fishing settlement , hardly even a village – a hundred few houses , a handsome two storied verandahed Victorian pub , some Victorian shop fronts and a wharf where the fishing boats tied up ."
