idx,prefixes,aann,default_ann
11475,He placed,an extra five dollars,five extra dollars
11477,"She had a standard issue duty weapon strapped to her waist , an assault rifle in her hands and",a solid fifty pounds,fifty solid pounds
11480,"She could n't remember all their names , but "" Peter "" was the one to make it the longest :",a full five days,five full days
11482,"You know Christine , when I first started volunteering at the charity shop , that used to be a funny joke as I was the youngest there by",a good 10 years,10 good years
11483,"Looking up , she watched as the lights glowed orange for at least",a full two seconds,two full seconds
11484,Then,a further two days,two further days
11485,"And that went well for what ,",a whole amazing four days,four whole amazing days
11486,I waited,a respectable three seconds,three respectable seconds
11487,"With the winter storm and all , it took him",an extra three days,three extra days
11488,I shook it,a good seven or eight times,seven or eight good times
11489,Damnit ... I 've only managed to hang onto,a measly four points,four measly points
11490,"Opting instead for a classiness he usually failed to achieve , he wiped his wet hand on a cloth serviette and looked down —",a good eight inches,eight good inches
11491,"A vibration in her pocket diverted Emma 's attention to her phone , and she sighed as she saw a message from Sian saying that her flight was delayed and she was still",a good three hours,three good hours
11492,Jac had spent,a fruitless thirty minutes,thirty fruitless minutes
11493,It had been,a long two weeks,two long weeks
11496,The giant man had come sauntering,a good five minutes,five good minutes
11497,Satul had been pacing and ranting for,a good ten minutes,ten good minutes
11499,"He looked surprised , which was n't exactly shocking – she 'd sent him an e - mail telling him she was headed to Hot Ink , but that had been",a whopping twenty minutes,twenty whopping minutes
11500,"All this commotion usually leaves my car , which is near the exit , blocked in for",a good 30 minutes,30 good minutes
11502,"As a kid , up until his family had moved to the Florida coast , he 'd lived",a good five hours,five good hours
11504,I 'll beat him there by,a full twelve hours,twelve full hours
11505,"The rental agent rode with us to another gas station , where it took",a full twenty minutes,twenty full minutes
11506,After Danny had spent,a good two minutes,two good minutes
11507,The duo walked for,a further five minutes,five further minutes
11508,We had,an interesting two weeks,two interesting weeks
11511,They walked for,a further ten minutes,ten further minutes
11513,The van had been on the road for,a good ten minutes,ten good minutes
11514,"The car that Dicko was following was three car lengths away , with both vehicles going at",a steady twenty miles,twenty steady miles
11516,""" Under ordinary circumstances , the capital would be",a scant two days,two scant days
11517,For,a solid five minutes,five solid minutes
11519,Our students here train for,a solid ten years,ten solid years
11520,They had only travelled,a further twenty yards,twenty further yards
11521,He made it,a full 80 ounces,80 full ounces
11522,It was just going to be,an anxious 100 feet,100 anxious feet
11525,It had been,a weird 24 hours,24 weird hours
11527,After,an agonizing three minutes,three agonizing minutes
11531,Not when it 's,a full two days,two full days
11532,Dinner had taken,a relaxing three hours,three relaxing hours
11533,"The Mage reared his horse to make another pass when Vultrel saw his father , blade crossed with another opponent 's , standing",a good twenty paces,twenty good paces
11534,I 'd missed,a whole two minutes,two whole minutes
11535,""" Fine , "" she said after",a suspenseful two or three seconds,two or three suspenseful seconds
11537,He grew,an astounding four inches,four astounding inches
11538,"Randy was older ,",a full four years,four full years
11539,The water was,a good five feet,five good feet
11540,It took all of us,a good four or five days,four or five good days
11541,He was,a good ten years,ten good years
11542,"I 'm sure I thought I was "" cool "" when I cruised around , with the rumble of the mechanical beast preceding me by",a good two blocks,two good blocks
11548,It was a testament to how fast he had run down the hill that it took him,a good thirty minutes,thirty good minutes
11551,Wade stood,an even six feet,six even feet
11552,Wade estimated the crack in the wall had closed the gap between them by,a further two feet,two further feet
11553,This ship will be stationary for,a further five hours,five further hours
11555,His brother had,a good four inches,four good inches
11556,He had,a good four inches,four good inches
11557,4 model was sold without a smokestack or chimney burner for,a mere six dollars,six mere dollars
11558,His 1907 ' Sketch of a New Aesthetic of Music ' proposed that music pass beyond its 19th century framings- harmony as the possible combination of,a mere 12 notes,12 mere notes
11559,The annual subscription fee was,a steep 180 francs,180 steep francs
11565,It took a number of calls - and,a good four months,four good months
11569,"I got a plane to catch and if I 'm going to shoot someone , I need a least",an extra twenty minutes,twenty extra minutes
11570,They clambered up,a further three metres,three further metres
11571,This had to be done,a further three times,three further times
11572,Kyle and Gus had to stop,a further two times,two further times
11573,They ran for,a good ten minutes,ten good minutes
11574,"Arms over my head , I caught his gaze , my face going hot when I realized that my top had risen",a good two inches,two good inches
11576,The forward wall held a three tier built - in bookcase which could hold the size of,a skinny six years,six skinny years
11578,Frank had paid an arm and leg for,a small six feet,six small feet
11579,The room has a cathedral ceiling of,an additional ten feet,ten additional feet
11580,"Tom moved ahead and stopped , blocking",a lanky six feet,six lanky feet
11581,""" Oh , they live",a good four days,four good days
11584,"Frank had also moved out , was living on the south side ,",a good twenty minutes,twenty good minutes
11586,And with those complaints duly noted and recorded on the Congressional Record – the House of Representatives then proceeded,a scant two days,two scant days
11587,"But if so , cramming",an additional three people,three additional people
